value	from	to
0,965272938	Иркутская обл.	Алтайский край
0,806498451	Кабардино-Балкария	Алтайский край
0,882699609	Калининградская обл.	Алтайский край
0,646591991	Калмыкия	Алтайский край
0,850626254	Калужская обл.	Алтайский край
0,785609391	Камчатский край	Алтайский край
0,697434827	Карачаево-Черкессия	Алтайский край
0,863547882	Карелия	Алтайский край
0,917627547	Кемеровская обл.	Алтайский край
0,854229776	Кировская обл.	Алтайский край
0,931067182	Коми	Алтайский край
0,892728515	Костромская обл.	Алтайский край
