value	from	to
0,937686735	Курганская обл.	Вологодская обл.
0,935844399	Курская обл.	Вологодская обл.
0,935197601	Ленинградская обл.	Вологодская обл.
0,942105997	Липецкая обл.	Вологодская обл.
0,625159302	Магаданская обл.	Вологодская обл.
0,727789461	Марий Эл	Вологодская обл.
0,896432432	Мордовия	Вологодская обл.
0,5131786	Москва	Вологодская обл.
0,71144616	Московская обл.	Вологодская обл.
0,762304047	Мурманская обл.	Вологодская обл.
0,797799817	Ненецкий АО	Вологодская обл.
0,912780407	Нижегородская обл.	Вологодская обл.
0,927291398	Новгородская обл.	Вологодская обл.
0,869529091	Новосибирская обл.	Вологодская обл.
0,877397046	Омская обл.	Вологодская обл.
0,866186712	Оренбургская обл.	Вологодская обл.
0,919863642	Орловская обл.	Вологодская обл.
0,943038556	Пензенская обл.	Вологодская обл.
0,952959051	Пермский край	Вологодская обл.
0,861430727	Приморский край	Вологодская обл.
0,947222974	Псковская обл.	Вологодская обл.
0,935485045	Ростовская обл.	Вологодская обл.
0,913338781	Рязанская обл.	Вологодская обл.
0,944311073	Самарская обл.	Вологодская обл.
0,914413654	Санкт-Петербург	Вологодская обл.
0,966940109	Саратовская обл.	Вологодская обл.
0,813811811	Саха (Якутия)	Вологодская обл.
0,791134304	Сахалинская обл.	Вологодская обл.
0,860776743	Свердловская обл.	Вологодская обл.
0,939242873	Севастополь	Вологодская обл.
0,722977599	Северная Осетия	Вологодская обл.
0,900639087	Смоленская обл.	Вологодская обл.
0,860965846	Ставропольский край	Вологодская обл.
0,910393437	Тамбовская обл.	Вологодская обл.
0,753493593	Татарстан	Вологодская обл.
0,945055142	Тверская обл.	Вологодская обл.
0,852167647	Томская обл.	Вологодская обл.
0,909732921	Тульская обл.	Вологодская обл.
0,391643026	Тыва	Вологодская обл.
0,889759776	Тюменская обл.	Вологодская обл.
0,933235101	Удмуртия	Вологодская обл.
0,880700892	Ульяновская обл.	Вологодская обл.
0,884133486	Хабаровский край	Вологодская обл.
0,786372857	Хакасия	Вологодская обл.
0,673232397	ХМАО – Югра	Вологодская обл.
0,910816663	Челябинская обл.	Вологодская обл.
0,737035853	Чечня	Вологодская обл.
0,796088937	Чувашия	Вологодская обл.
0,844565511	Чукотский АО	Вологодская обл.
0,58007762	Ямало-Ненецкий АО	Вологодская обл.
0,944563326	Ярославская обл.	Вологодская обл.
0,813900584	Адыгея	Воронежская обл.
0,697634786	Алтай	Воронежская обл.
0,920562253	Алтайский край	Воронежская обл.
0,886568732	Амурская обл.	Воронежская обл.
0,893344579	Архангельская обл.	Воронежская обл.
0,895476128	Астраханская обл.	Воронежская обл.
0,941430103	Башкортостан	Воронежская обл.
0,94143919	Белгородская обл.	Воронежская обл.
0,920567955	Брянская обл.	Воронежская обл.
0,808365952	Бурятия	Воронежская обл.
0,937871273	Владимирская обл.	Воронежская обл.
0,96761443	Волгоградская обл.	Воронежская обл.
0,945287714	Вологодская обл.	Воронежская обл.
1	Воронежская обл.	Воронежская обл.
0,694905216	Дагестан	Воронежская обл.
0,836087325	Еврейская АО	Воронежская обл.
0,921433869	Забайкальский край	Воронежская обл.
0,922000893	Ивановская обл.	Воронежская обл.
0,684295677	Ингушетия	Воронежская обл.
0,931973856	Иркутская обл.	Воронежская обл.
0,783293894	Кабардино-Балкария	Воронежская обл.
0,951088143	Калининградская обл.	Воронежская обл.
0,649745027	Калмыкия	Воронежская обл.
0,866978925	Калужская обл.	Воронежская обл.
0,74769478	Камчатский край	Воронежская обл.
0,664381751	Карачаево-Черкессия	Воронежская обл.
0,892494545	Карелия	Воронежская обл.
0,844652908	Кемеровская обл.	Воронежская обл.
0,833598737	Кировская обл.	Воронежская обл.
0,91984597	Коми	Воронежская обл.
0,907727804	Костромская обл.	Воронежская обл.
0,924159201	Краснодарский край	Воронежская обл.
0,897861788	Красноярский край	Воронежская обл.
0,926482671	Крым	Воронежская обл.
0,95785949	Курганская обл.	Воронежская обл.
0,954781684	Курская обл.	Воронежская обл.
0,931436693	Ленинградская обл.	Воронежская обл.
0,9693913	Липецкая обл.	Воронежская обл.
0,629975773	Магаданская обл.	Воронежская обл.
0,765253716	Марий Эл	Воронежская обл.
0,915139461	Мордовия	Воронежская обл.
0,47386563	Москва	Воронежская обл.
0,709671496	Московская обл.	Воронежская обл.
0,740939423	Мурманская обл.	Воронежская обл.
0,87677408	Ненецкий АО	Воронежская обл.
0,945326705	Нижегородская обл.	Воронежская обл.
0,920860969	Новгородская обл.	Воронежская обл.
0,911853068	Новосибирская обл.	Воронежская обл.
0,916494701	Омская обл.	Воронежская обл.
0,912624573	Оренбургская обл.	Воронежская обл.
0,909257292	Орловская обл.	Воронежская обл.
0,971146064	Пензенская обл.	Воронежская обл.
0,96728	Пермский край	Воронежская обл.
0,872931301	Приморский край	Воронежская обл.
0,927162737	Псковская обл.	Воронежская обл.
0,958151871	Ростовская обл.	Воронежская обл.
0,92798101	Рязанская обл.	Воронежская обл.
0,960228789	Самарская обл.	Воронежская обл.
0,864177358	Санкт-Петербург	Воронежская обл.
0,977008923	Саратовская обл.	Воронежская обл.
0,849229052	Саха (Якутия)	Воронежская обл.
0,748291862	Сахалинская обл.	Воронежская обл.
0,925121447	Свердловская обл.	Воронежская обл.
0,946947326	Севастополь	Воронежская обл.
0,704449078	Северная Осетия	Воронежская обл.
0,915883115	Смоленская обл.	Воронежская обл.
0,87804878	Ставропольский край	Воронежская обл.
0,892197315	Тамбовская обл.	Воронежская обл.
0,720989367	Татарстан	Воронежская обл.
0,952794414	Тверская обл.	Воронежская обл.
0,8596918	Томская обл.	Воронежская обл.
0,896678351	Тульская обл.	Воронежская обл.
0,489565627	Тыва	Воронежская обл.
0,933430713	Тюменская обл.	Воронежская обл.
0,939410066	Удмуртия	Воронежская обл.
0,928989193	Ульяновская обл.	Воронежская обл.
0,878486838	Хабаровский край	Воронежская обл.
0,812118406	Хакасия	Воронежская обл.
0,731850351	ХМАО – Югра	Воронежская обл.
0,955745481	Челябинская обл.	Воронежская обл.
0,741588362	Чечня	Воронежская обл.
0,80860855	Чувашия	Воронежская обл.
0,887715558	Чукотский АО	Воронежская обл.
0,623266048	Ямало-Ненецкий АО	Воронежская обл.
0,950353139	Ярославская обл.	Воронежская обл.
0,801082038	Адыгея	Дагестан
0,685060214	Алтай	Дагестан
0,728266204	Алтайский край	Дагестан
0,703208257	Амурская обл.	Дагестан
0,793532305	Архангельская обл.	Дагестан
0,865035801	Астраханская обл.	Дагестан
0,643024773	Башкортостан	Дагестан
0,735564928	Белгородская обл.	Дагестан
0,830107929	Брянская обл.	Дагестан
0,758259998	Бурятия	Дагестан
0,806776961	Владимирская обл.	Дагестан
0,707681124	Волгоградская обл.	Дагестан
0,667421352	Вологодская обл.	Дагестан
0,694905216	Воронежская обл.	Дагестан
1	Дагестан	Дагестан
0,71053907	Еврейская АО	Дагестан
0,786959235	Забайкальский край	Дагестан
0,739756467	Ивановская обл.	Дагестан
0,898132849	Ингушетия	Дагестан
0,744597905	Иркутская обл.	Дагестан
0,852912633	Кабардино-Балкария	Дагестан
0,75694126	Калининградская обл.	Дагестан
0,68297482	Калмыкия	Дагестан
0,823230857	Калужская обл.	Дагестан
0,812119804	Камчатский край	Дагестан
0,762558856	Карачаево-Черкессия	Дагестан
0,693143287	Карелия	Дагестан
0,696576668	Кемеровская обл.	Дагестан
0,747881677	Кировская обл.	Дагестан
0,788201039	Коми	Дагестан
0,746864428	Костромская обл.	Дагестан
0,691356653	Краснодарский край	Дагестан
0,849363611	Красноярский край	Дагестан
0,731123036	Крым	Дагестан
0,688430378	Курганская обл.	Дагестан
0,778610081	Курская обл.	Дагестан
0,762961002	Ленинградская обл.	Дагестан
0,701875211	Липецкая обл.	Дагестан
0,764628478	Магаданская обл.	Дагестан
0,932257543	Марий Эл	Дагестан
0,764718671	Мордовия	Дагестан
0,68987876	Москва	Дагестан
0,846430434	Московская обл.	Дагестан
0,828059997	Мурманская обл.	Дагестан
0,734547767	Ненецкий АО	Дагестан
0,789320779	Нижегородская обл.	Дагестан
0,80115978	Новгородская обл.	Дагестан
0,738811827	Новосибирская обл.	Дагестан
0,807235115	Омская обл.	Дагестан
0,740475284	Оренбургская обл.	Дагестан
0,721805193	Орловская обл.	Дагестан
0,720895242	Пензенская обл.	Дагестан
0,701717651	Пермский край	Дагестан
0,807107481	Приморский край	Дагестан
0,72239725	Псковская обл.	Дагестан
0,718164667	Ростовская обл.	Дагестан
0,750533854	Рязанская обл.	Дагестан
0,7155773	Самарская обл.	Дагестан
0,759819325	Санкт-Петербург	Дагестан
0,660950249	Саратовская обл.	Дагестан
0,655219021	Саха (Якутия)	Дагестан
0,776527134	Сахалинская обл.	Дагестан
0,734196211	Свердловская обл.	Дагестан
0,727900362	Севастополь	Дагестан
0,890929495	Северная Осетия	Дагестан
0,788348005	Смоленская обл.	Дагестан
0,824094346	Ставропольский край	Дагестан
0,63790963	Тамбовская обл.	Дагестан
0,443704555	Татарстан	Дагестан
0,771386959	Тверская обл.	Дагестан
0,658159997	Томская обл.	Дагестан
0,706215376	Тульская обл.	Дагестан
0,771379641	Тыва	Дагестан
0,740470544	Тюменская обл.	Дагестан
0,712833095	Удмуртия	Дагестан
0,754754314	Ульяновская обл.	Дагестан
0,777175789	Хабаровский край	Дагестан
0,873157167	Хакасия	Дагестан
0,694264141	ХМАО – Югра	Дагестан
0,664591365	Челябинская обл.	Дагестан
0,840369232	Чечня	Дагестан
0,768670124	Чувашия	Дагестан
0,735804709	Чукотский АО	Дагестан
0,708334125	Ямало-Ненецкий АО	Дагестан
0,725286827	Ярославская обл.	Дагестан
0,81757036	Адыгея	Еврейская АО
0,74638194	Алтай	Еврейская АО
0,848317397	Алтайский край	Еврейская АО
0,891851657	Амурская обл.	Еврейская АО
0,820394995	Архангельская обл.	Еврейская АО
0,757326826	Астраханская обл.	Еврейская АО
0,777367185	Башкортостан	Еврейская АО
0,779388358	Белгородская обл.	Еврейская АО
0,815830515	Брянская обл.	Еврейская АО
0,750543007	Бурятия	Еврейская АО
0,810967801	Владимирская обл.	Еврейская АО
0,87117551	Волгоградская обл.	Еврейская АО
0,788589751	Вологодская обл.	Еврейская АО
0,836087325	Воронежская обл.	Еврейская АО
0,71053907	Дагестан	Еврейская АО
1	Еврейская АО	Еврейская АО
0,850394097	Забайкальский край	Еврейская АО
0,789951216	Ивановская обл.	Еврейская АО
0,75184641	Ингушетия	Еврейская АО
0,786687497	Иркутская обл.	Еврейская АО
0,734834228	Кабардино-Балкария	Еврейская АО
0,818419323	Калининградская обл.	Еврейская АО
0,677536017	Калмыкия	Еврейская АО
0,756090571	Калужская обл.	Еврейская АО
0,707308467	Камчатский край	Еврейская АО
0,678250269	Карачаево-Черкессия	Еврейская АО
0,73583411	Карелия	Еврейская АО
0,89259933	Кемеровская обл.	Еврейская АО
0,695682815	Кировская обл.	Еврейская АО
0,843560189	Коми	Еврейская АО
0,844735172	Костромская обл.	Еврейская АО
0,809305152	Краснодарский край	Еврейская АО
0,809344624	Красноярский край	Еврейская АО
0,831535602	Крым	Еврейская АО
0,840123444	Курганская обл.	Еврейская АО
0,806170006	Курская обл.	Еврейская АО
0,789613619	Ленинградская обл.	Еврейская АО
0,817500984	Липецкая обл.	Еврейская АО
0,730672943	Магаданская обл.	Еврейская АО
0,726464934	Марий Эл	Еврейская АО
0,855153621	Мордовия	Еврейская АО
0,46289748	Москва	Еврейская АО
0,587302556	Московская обл.	Еврейская АО
0,7187164	Мурманская обл.	Еврейская АО
0,856266873	Ненецкий АО	Еврейская АО
0,822777247	Нижегородская обл.	Еврейская АО
0,783091663	Новгородская обл.	Еврейская АО
0,856718365	Новосибирская обл.	Еврейская АО
0,817596441	Омская обл.	Еврейская АО
0,853614259	Оренбургская обл.	Еврейская АО
0,804428195	Орловская обл.	Еврейская АО
0,850205759	Пензенская обл.	Еврейская АО
0,814824996	Пермский край	Еврейская АО
0,835496841	Приморский край	Еврейская АО
0,771988496	Псковская обл.	Еврейская АО
0,814550768	Ростовская обл.	Еврейская АО
0,869148702	Рязанская обл.	Еврейская АО
0,786273293	Самарская обл.	Еврейская АО
0,695956148	Санкт-Петербург	Еврейская АО
0,81282984	Саратовская обл.	Еврейская АО
0,814497447	Саха (Якутия)	Еврейская АО
0,693525665	Сахалинская обл.	Еврейская АО
0,864266088	Свердловская обл.	Еврейская АО
0,837794994	Севастополь	Еврейская АО
0,719812177	Северная Осетия	Еврейская АО
0,775199833	Смоленская обл.	Еврейская АО
0,817108973	Ставропольский край	Еврейская АО
0,7392522	Тамбовская обл.	Еврейская АО
0,675105096	Татарстан	Еврейская АО
0,799046252	Тверская обл.	Еврейская АО
0,884957438	Томская обл.	Еврейская АО
0,761173625	Тульская обл.	Еврейская АО
0,520989192	Тыва	Еврейская АО
0,858948474	Тюменская обл.	Еврейская АО
0,814333006	Удмуртия	Еврейская АО
0,860576544	Ульяновская обл.	Еврейская АО
0,860682486	Хабаровский край	Еврейская АО
0,815081357	Хакасия	Еврейская АО
0,650872391	ХМАО – Югра	Еврейская АО
0,793945046	Челябинская обл.	Еврейская АО
0,687513611	Чечня	Еврейская АО
0,6693451	Чувашия	Еврейская АО
0,866774029	Чукотский АО	Еврейская АО
0,669631321	Ямало-Ненецкий АО	Еврейская АО
0,834539291	Ярославская обл.	Еврейская АО
0,876837165	Адыгея	Забайкальский край
0,840937326	Алтай	Забайкальский край
0,899051669	Алтайский край	Забайкальский край
0,910169209	Амурская обл.	Забайкальский край
0,934749604	Архангельская обл.	Забайкальский край
0,898569596	Астраханская обл.	Забайкальский край
0,83691416	Башкортостан	Забайкальский край
0,920947208	Белгородская обл.	Забайкальский край
0,946244542	Брянская обл.	Забайкальский край
0,941112645	Бурятия	Забайкальский край
0,927704357	Владимирская обл.	Забайкальский край
0,891006451	Волгоградская обл.	Забайкальский край
0,908069355	Вологодская обл.	Забайкальский край
0,921433869	Воронежская обл.	Забайкальский край
0,786959235	Дагестан	Забайкальский край
0,850394097	Еврейская АО	Забайкальский край
1	Забайкальский край	Забайкальский край
0,927400421	Ивановская обл.	Забайкальский край
0,773382989	Ингушетия	Забайкальский край
0,906724077	Иркутская обл.	Забайкальский край
0,857528489	Кабардино-Балкария	Забайкальский край
0,927211952	Калининградская обл.	Забайкальский край
0,71879956	Калмыкия	Забайкальский край
0,907218754	Калужская обл.	Забайкальский край
0,848602416	Камчатский край	Забайкальский край
0,795888563	Карачаево-Черкессия	Забайкальский край
0,901274613	Карелия	Забайкальский край
0,857089471	Кемеровская обл.	Забайкальский край
0,893771343	Кировская обл.	Забайкальский край
0,959670743	Коми	Забайкальский край
0,934086162	Костромская обл.	Забайкальский край
0,85832636	Краснодарский край	Забайкальский край
0,923115499	Красноярский край	Забайкальский край
0,917776151	Крым	Забайкальский край
0,909523285	Курганская обл.	Забайкальский край
0,925173675	Курская обл.	Забайкальский край
0,912305499	Ленинградская обл.	Забайкальский край
0,891102586	Липецкая обл.	Забайкальский край
0,774962106	Магаданская обл.	Забайкальский край
0,831771626	Марий Эл	Забайкальский край
0,911844855	Мордовия	Забайкальский край
0,624409248	Москва	Забайкальский край
0,767455712	Московская обл.	Забайкальский край
0,863534907	Мурманская обл.	Забайкальский край
0,851172198	Ненецкий АО	Забайкальский край
0,940440858	Нижегородская обл.	Забайкальский край
0,936832945	Новгородская обл.	Забайкальский край
0,930714949	Новосибирская обл.	Забайкальский край
0,90893848	Омская обл.	Забайкальский край
0,892783977	Оренбургская обл.	Забайкальский край
0,911393953	Орловская обл.	Забайкальский край
0,921630529	Пензенская обл.	Забайкальский край
0,89622	Пермский край	Забайкальский край
0,899049375	Приморский край	Забайкальский край
0,93971564	Псковская обл.	Забайкальский край
0,894989839	Ростовская обл.	Забайкальский край
0,903485151	Рязанская обл.	Забайкальский край
0,888735887	Самарская обл.	Забайкальский край
0,882663173	Санкт-Петербург	Забайкальский край
0,903722222	Саратовская обл.	Забайкальский край
0,82511592	Саха (Якутия)	Забайкальский край
0,832651891	Сахалинская обл.	Забайкальский край
0,87205263	Свердловская обл.	Забайкальский край
0,893330162	Севастополь	Забайкальский край
0,774431627	Северная Осетия	Забайкальский край
0,923981523	Смоленская обл.	Забайкальский край
0,86759785	Ставропольский край	Забайкальский край
0,856965725	Тамбовская обл.	Забайкальский край
0,624885685	Татарстан	Забайкальский край
0,938446248	Тверская обл.	Забайкальский край
0,886888526	Томская обл.	Забайкальский край
0,888255059	Тульская обл.	Забайкальский край
0,622437596	Тыва	Забайкальский край
0,906560728	Тюменская обл.	Забайкальский край
0,896422887	Удмуртия	Забайкальский край
0,915811183	Ульяновская обл.	Забайкальский край
0,906783623	Хабаровский край	Забайкальский край
0,913940231	Хакасия	Забайкальский край
0,79345347	ХМАО – Югра	Забайкальский край
0,858779861	Челябинская обл.	Забайкальский край
0,74805787	Чечня	Забайкальский край
0,80774884	Чувашия	Забайкальский край
0,850459039	Чукотский АО	Забайкальский край
0,734603403	Ямало-Ненецкий АО	Забайкальский край
0,905302454	Ярославская обл.	Забайкальский край
0,905809626	Адыгея	Ивановская обл.
0,739025461	Алтай	Ивановская обл.
0,898079375	Алтайский край	Ивановская обл.
0,905334914	Амурская обл.	Ивановская обл.
0,94096782	Архангельская обл.	Ивановская обл.
0,883811267	Астраханская обл.	Ивановская обл.
0,882118758	Башкортостан	Ивановская обл.
0,978577359	Белгородская обл.	Ивановская обл.
0,921550799	Брянская обл.	Ивановская обл.
0,839907277	Бурятия	Ивановская обл.
0,92988191	Владимирская обл.	Ивановская обл.
0,90703142	Волгоградская обл.	Ивановская обл.
0,91896162	Вологодская обл.	Ивановская обл.
0,922000893	Воронежская обл.	Ивановская обл.
0,739756467	Дагестан	Ивановская обл.
0,789951216	Еврейская АО	Ивановская обл.
0,927400421	Забайкальский край	Ивановская обл.
1	Ивановская обл.	Ивановская обл.
0,790064542	Ингушетия	Ивановская обл.
0,918310322	Иркутская обл.	Ивановская обл.
0,90579084	Кабардино-Балкария	Ивановская обл.
0,920076095	Калининградская обл.	Ивановская обл.
0,603435849	Калмыкия	Ивановская обл.
0,949408216	Калужская обл.	Ивановская обл.
0,827677052	Камчатский край	Ивановская обл.
0,80192838	Карачаево-Черкессия	Ивановская обл.
0,910063419	Карелия	Ивановская обл.
0,796553316	Кемеровская обл.	Ивановская обл.
0,907376117	Кировская обл.	Ивановская обл.
0,912623743	Коми	Ивановская обл.
0,86157457	Костромская обл.	Ивановская обл.
0,862076717	Краснодарский край	Ивановская обл.
0,923173014	Красноярский край	Ивановская обл.
0,865027763	Крым	Ивановская обл.
0,921692872	Курганская обл.	Ивановская обл.
0,934268449	Курская обл.	Ивановская обл.
0,924448698	Ленинградская обл.	Ивановская обл.
0,915013531	Липецкая обл.	Ивановская обл.
0,696453643	Магаданская обл.	Ивановская обл.
0,828729469	Марий Эл	Ивановская обл.
0,955684034	Мордовия	Ивановская обл.
0,576124355	Москва	Ивановская обл.
0,758668741	Московская обл.	Ивановская обл.
0,80516641	Мурманская обл.	Ивановская обл.
0,814608502	Ненецкий АО	Ивановская обл.
0,938921003	Нижегородская обл.	Ивановская обл.
0,965696055	Новгородская обл.	Ивановская обл.
0,919895272	Новосибирская обл.	Ивановская обл.
0,899948427	Омская обл.	Ивановская обл.
0,845276792	Оренбургская обл.	Ивановская обл.
0,963584667	Орловская обл.	Ивановская обл.
0,938476567	Пензенская обл.	Ивановская обл.
0,906252423	Пермский край	Ивановская обл.
0,887623639	Приморский край	Ивановская обл.
0,963693209	Псковская обл.	Ивановская обл.
0,926133103	Ростовская обл.	Ивановская обл.
0,914451488	Рязанская обл.	Ивановская обл.
0,919072215	Самарская обл.	Ивановская обл.
0,899436952	Санкт-Петербург	Ивановская обл.
0,942596239	Саратовская обл.	Ивановская обл.
0,838281217	Саха (Якутия)	Ивановская обл.
0,816836601	Сахалинская обл.	Ивановская обл.
0,901780234	Свердловская обл.	Ивановская обл.
0,864267704	Севастополь	Ивановская обл.
0,824438584	Северная Осетия	Ивановская обл.
0,932946325	Смоленская обл.	Ивановская обл.
0,874732374	Ставропольский край	Ивановская обл.
0,928048376	Тамбовская обл.	Ивановская обл.
0,71946984	Татарстан	Ивановская обл.
0,937305821	Тверская обл.	Ивановская обл.
0,873401709	Томская обл.	Ивановская обл.
0,930778842	Тульская обл.	Ивановская обл.
0,524474234	Тыва	Ивановская обл.
0,887411273	Тюменская обл.	Ивановская обл.
0,878780551	Удмуртия	Ивановская обл.
0,91595319	Ульяновская обл.	Ивановская обл.
0,895543429	Хабаровский край	Ивановская обл.
0,855027472	Хакасия	Ивановская обл.
0,802838112	ХМАО – Югра	Ивановская обл.
0,916691929	Челябинская обл.	Ивановская обл.
0,764677212	Чечня	Ивановская обл.
0,892739459	Чувашия	Ивановская обл.
0,818209621	Чукотский АО	Ивановская обл.
0,694972561	Ямало-Ненецкий АО	Ивановская обл.
0,92441283	Ярославская обл.	Ивановская обл.
0,899111761	Адыгея	Ингушетия
0,757569862	Алтай	Ингушетия
0,765116995	Алтайский край	Ингушетия
0,778325324	Амурская обл.	Ингушетия
0,860998196	Архангельская обл.	Ингушетия
0,806293118	Астраханская обл.	Ингушетия
0,606982184	Башкортостан	Ингушетия
0,779184357	Белгородская обл.	Ингушетия
0,761794254	Брянская обл.	Ингушетия
0,747680342	Бурятия	Ингушетия
0,761725008	Владимирская обл.	Ингушетия
0,725732464	Волгоградская обл.	Ингушетия
0,695805207	Вологодская обл.	Ингушетия
0,684295677	Воронежская обл.	Ингушетия
0,898132849	Дагестан	Ингушетия
0,75184641	Еврейская АО	Ингушетия
0,773382989	Забайкальский край	Ингушетия
0,790064542	Ивановская обл.	Ингушетия
1	Ингушетия	Ингушетия
0,741135581	Иркутская обл.	Ингушетия
0,902715918	Кабардино-Балкария	Ингушетия
0,740256627	Калининградская обл.	Ингушетия
0,656074821	Калмыкия	Ингушетия
0,848871708	Калужская обл.	Ингушетия
0,822375712	Камчатский край	Ингушетия
0,873425737	Карачаево-Черкессия	Ингушетия
0,73706591	Карелия	Ингушетия
0,749981138	Кемеровская обл.	Ингушетия
0,802812402	Кировская обл.	Ингушетия
0,811074268	Коми	Ингушетия
0,763149842	Костромская обл.	Ингушетия
0,687928536	Краснодарский край	Ингушетия
0,837224781	Красноярский край	Ингушетия
0,701688949	Крым	Ингушетия
0,723093852	Курганская обл.	Ингушетия
0,737904322	Курская обл.	Ингушетия
0,748559296	Ленинградская обл.	Ингушетия
0,678637758	Липецкая обл.	Ингушетия
0,860260855	Магаданская обл.	Ингушетия
0,907707926	Марий Эл	Ингушетия
0,836449868	Мордовия	Ингушетия
0,681736774	Москва	Ингушетия
0,743315144	Московская обл.	Ингушетия
0,842257004	Мурманская обл.	Ингушетия
0,706960209	Ненецкий АО	Ингушетия
0,773940533	Нижегородская обл.	Ингушетия
0,831901247	Новгородская обл.	Ингушетия
0,750547812	Новосибирская обл.	Ингушетия
0,808742934	Омская обл.	Ингушетия
0,74281802	Оренбургская обл.	Ингушетия
0,795088661	Орловская обл.	Ингушетия
0,728240188	Пензенская обл.	Ингушетия
0,700402605	Пермский край	Ингушетия
0,828796901	Приморский край	Ингушетия
0,756185439	Псковская обл.	Ингушетия
0,745165737	Ростовская обл.	Ингушетия
0,752818923	Рязанская обл.	Ингушетия
0,721972146	Самарская обл.	Ингушетия
0,757933213	Санкт-Петербург	Ингушетия
0,705199657	Саратовская обл.	Ингушетия
0,721430985	Саха (Якутия)	Ингушетия
0,820823419	Сахалинская обл.	Ингушетия
0,755136866	Свердловская обл.	Ингушетия
0,684079532	Севастополь	Ингушетия
0,957456885	Северная Осетия	Ингушетия
0,73032853	Смоленская обл.	Ингушетия
0,865230692	Ставропольский край	Ингушетия
0,691914327	Тамбовская обл.	Ингушетия
0,5017758	Татарстан	Ингушетия
0,746350463	Тверская обл.	Ингушетия
0,779539954	Томская обл.	Ингушетия
0,71539569	Тульская обл.	Ингушетия
0,716237227	Тыва	Ингушетия
0,76153536	Тюменская обл.	Ингушетия
0,734390447	Удмуртия	Ингушетия
0,805957662	Ульяновская обл.	Ингушетия
0,808971508	Хабаровский край	Ингушетия
0,877277494	Хакасия	Ингушетия
0,749123284	ХМАО – Югра	Ингушетия
0,680197914	Челябинская обл.	Ингушетия
0,791457287	Чечня	Ингушетия
0,767152388	Чувашия	Ингушетия
0,684835309	Чукотский АО	Ингушетия
0,782730889	Ямало-Ненецкий АО	Ингушетия
0,719657828	Ярославская обл.	Ингушетия
0,86868205	Адыгея	Иркутская обл.
0,696847466	Алтай	Иркутская обл.
0,965272938	Алтайский край	Иркутская обл.
0,898992406	Амурская обл.	Иркутская обл.
0,890944698	Архангельская обл.	Иркутская обл.
0,90660671	Астраханская обл.	Иркутская обл.
0,893916233	Башкортостан	Иркутская обл.
0,926977348	Белгородская обл.	Иркутская обл.
0,913406759	Брянская обл.	Иркутская обл.
0,821262962	Бурятия	Иркутская обл.
0,932287666	Владимирская обл.	Иркутская обл.
0,907694274	Волгоградская обл.	Иркутская обл.
0,877339028	Вологодская обл.	Иркутская обл.
0,931973856	Воронежская обл.	Иркутская обл.
0,744597905	Дагестан	Иркутская обл.
0,786687497	Еврейская АО	Иркутская обл.
0,906724077	Забайкальский край	Иркутская обл.
0,918310322	Ивановская обл.	Иркутская обл.
0,741135581	Ингушетия	Иркутская обл.
1	Иркутская обл.	Иркутская обл.
0,809431585	Кабардино-Балкария	Иркутская обл.
0,898791923	Калининградская обл.	Иркутская обл.
0,609379159	Калмыкия	Иркутская обл.
0,869945742	Калужская обл.	Иркутская обл.
0,787340935	Камчатский край	Иркутская обл.
0,68743742	Карачаево-Черкессия	Иркутская обл.
0,853059162	Карелия	Иркутская обл.
0,847250082	Кемеровская обл.	Иркутская обл.
0,84177279	Кировская обл.	Иркутская обл.
0,911119179	Коми	Иркутская обл.
0,863120746	Костромская обл.	Иркутская обл.
0,907885167	Краснодарский край	Иркутская обл.
0,943511258	Красноярский край	Иркутская обл.
0,868902739	Крым	Иркутская обл.
0,958712953	Курганская обл.	Иркутская обл.
0,902509711	Курская обл.	Иркутская обл.
0,914256203	Ленинградская обл.	Иркутская обл.
0,92049895	Липецкая обл.	Иркутская обл.
0,664223623	Магаданская обл.	Иркутская обл.
0,817650942	Марий Эл	Иркутская обл.
0,898703062	Мордовия	Иркутская обл.
0,473758398	Москва	Иркутская обл.
0,722255374	Московская обл.	Иркутская обл.
0,809558345	Мурманская обл.	Иркутская обл.
0,870703944	Ненецкий АО	Иркутская обл.
0,929377774	Нижегородская обл.	Иркутская обл.
0,897829546	Новгородская обл.	Иркутская обл.
0,947856251	Новосибирская обл.	Иркутская обл.
0,961543857	Омская обл.	Иркутская обл.
0,897120013	Оренбургская обл.	Иркутская обл.
0,869570027	Орловская обл.	Иркутская обл.
0,929813254	Пензенская обл.	Иркутская обл.
0,941083222	Пермский край	Иркутская обл.
0,928732921	Приморский край	Иркутская обл.
0,907293329	Псковская обл.	Иркутская обл.
0,930845553	Ростовская обл.	Иркутская обл.
0,873695182	Рязанская обл.	Иркутская обл.
0,922028525	Самарская обл.	Иркутская обл.
0,841913596	Санкт-Петербург	Иркутская обл.
0,920293442	Саратовская обл.	Иркутская обл.
0,788774616	Саха (Якутия)	Иркутская обл.
0,830353257	Сахалинская обл.	Иркутская обл.
0,938209416	Свердловская обл.	Иркутская обл.
0,883464364	Севастополь	Иркутская обл.
0,738724583	Северная Осетия	Иркутская обл.
0,896074171	Смоленская обл.	Иркутская обл.
0,905637933	Ставропольский край	Иркутская обл.
0,865647802	Тамбовская обл.	Иркутская обл.
0,621032618	Татарстан	Иркутская обл.
0,929718911	Тверская обл.	Иркутская обл.
0,855103795	Томская обл.	Иркутская обл.
0,879828927	Тульская обл.	Иркутская обл.
0,556380461	Тыва	Иркутская обл.
